"source","target","value"
"fas/__ee_1_قهوه","fas/__ee_قهوه‌خانه"
"fas/__ee_1_قهوه","fas/__ee_قهوه‌دان"
"fas/__ee_1_قهوه",fas/__ee_قهوه‌ساز"
"fas/__ee_1_قهوه",fas/__ee_قهوه‌ای"
"fas/__ee_1_قهوه",fas/__ee_قهوه‌جوش"
"ota/__ee_قهوه",ita/__ee_1_caffè"
"ota/__ee_قهوه",tur/__ee_kahve"
"ita/__ee_1_caffè",nld/__ee_koffie"
"fas/__ee_قهوه",ota/__ee_قهوه"
"ara/__ee_1_قهوة",kat/__ee_ყავა"
"fas/__ee_1_قهوه",ota/__ee_قهوه‌"
"ota/__ee_قهوه‌",tur/__ee_kahve"
"kat/__ee_ყავა",fas/__ee_قهوه"
"ota/__ee_قهوه",mkd/__ee_1_кафе"
"ota/__ee_قهوه",hbs/__ee_1_kafa"
"ota/__ee_قهوه",hbs/__ee_1_kahva"
"ota/__ee_قهوه",slv/__ee_1_kava"
"ota/__ee_قهوه",hbs/__ee_1_кафа"
"ota/__ee_قهوه",pol/__ee_1_kawa"
"ota/__ee_قهوه",hun/__ee_1_kávé"
"ota/__ee_قهوه",ell/__ee_1_καφές"
"ota/__ee_قهوه",ita/__ee_1_caffè"
"ota/__ee_قهوه",hbs/__ee_1_кава"
"ota/__ee_قهوه",bel/__ee_1_кава"
"ota/__ee_قهوه",ukr/__ee_1_кава"
"ota/__ee_قهوه",yid/__ee_1_קאַווע"
"ota/__ee_قهوه",ron/__ee_1_cafea"
"ota/__ee_قهوه",hbs/__ee_1_kava"
"ota/__ee_قهوه",hbs/__ee_1_кахва"
"ara/__ee_قَهْوَة",ota/__ee_قهوه"
"ara/__ee_قَهْوَة",swe/__ee_kaffe"
"ara/__ee_قَهْوَة",fas/__ee_قهوه"
"ara/__ee_قَهْوَة",tur/__ee_kahve"
"ara/__ee_قَهْوَة",rus/__ee_1_кофе"
"ara/__ee_قَهْوَة",fas/__ee_1_قهوه"
"ara/__ee_قَهْوَة",swa/__ee_1_kahawa"
"ara/__ee_قَهْوَة",kat/__ee_1_ყავა"
"ara/__ee_قَهْوَة",acw/__ee_1_قهوة"
"ara/__ee_قَهْوَة",mul/__ee_1_Coffea"
"ara/__ee_قَهْوَة",ces/__ee_1_káva"
"ara/__ee_قَهْوَة",tur/__ee_1_kahve"
"ara/__ee_قَهْوَة",slk/__ee_1_káva"
"ara/__ee_قَهْوَة",syc/__ee_1_ܩܗܘܐ"
"ara/__ee_قَهْوَة",bak/__ee_1_ҡәһүә"
"ara/__ee_قَهْوَة",ara/__ee_1_مقهى"
"ita/__ee_1_caffè",ita/__ee_1_caffettiere"
"ita/__ee_1_caffè",tel/__ee_1_కాఫీ"
"ita/__ee_1_caffè",swe/__ee_1_kaffe"
"ita/__ee_1_caffè",ita/__ee_1_caffetteria"
"ita/__ee_1_caffè",__ee_coffee"
"ita/__ee_1_caffè",fra/__ee_cafetière"
"ita/__ee_1_caffè",gle/__ee_1_caife"
"ita/__ee_1_caffè",spa/__ee_1_café"
"ita/__ee_1_caffè",fao/__ee_1_kaffi"
"ita/__ee_1_caffè",fra/__ee_1_café"
"ita/__ee_1_caffè",por/__ee_1_café"
"ita/__ee_1_caffè",nld/__ee_1_koffie"
"ita/__ee_1_caffè",ita/__ee_1_caffeicolo"
"ita/__ee_1_caffè",isl/__ee_1_kaffi"
"ita/__ee_1_caffè",ita/__ee_1_caffeifero"
"ita/__ee_1_caffè",ita/__ee_1_ammazzacaffè"
"__ee_coffee",hin/__ee_1_कॉफी"
"__ee_coffee",tpi/__ee_1_kofi"
"__ee_coffee",tpi/__ee_1_kopi"
"__ee_coffee",cym/__ee_1_coffi"
"__ee_coffee",msa/__ee_kopi"
"__ee_coffee",chk/__ee_1_kofi"
"__ee_coffee",msa/__ee_1_kopi"
"__ee_coffee",hin/__ee_1_काफ़ी"
"__ee_coffee",kor/__ee_1_커피"
"__ee_coffee",jpn/__ee_1_コーヒー"
"__ee_coffee",jpn/__ee_コーヒー"
"__ee_coffee",hin/__ee_1_कॉफ़ी"
"__ee_coffee",nav/__ee_1_gohwééh"
"__ee_coffee",aji/__ee_1_kövi"
"__ee_coffee",tow/__ee_1_gahwé"
"__ee_coffee",msa/__ee_1_کوڤي"
"__ee_coffee",ane/__ee_1_köfi"
"fas/__ee_قهوه",hin/__ee_1_क़हवा"
"fas/__ee_قهوه",fas/__ee_1_قهوه‌خانه"
"fas/__ee_قهوه",hin/__ee_1_कहवा"
"fas/__ee_قهوه",urd/__ee_1_قہوہ"
"fas/__ee_قهوه",guj/__ee_1_કહવા"
"tur/__ee_kahve",ota/__ee_قهوه"
"tur/__ee_kahve",tur/__ee_1_kahverengi"
"kat/__ee_ყავა",kat/__ee_1_ყავისფერი"
"ara/__ee_قهوة",ota/__ee_قهوه"
"ara/__ee_قهوة",rif/__ee_1_aqehwi"
"ara/__ee_قهوة",arc/__ee_1_קהוא"
