"nld__ee_condoleren" "lat__ee_condoleō" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"glg__ee_doenza" "lat__ee_dolentia" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"roa-opt__ee_doença" "lat__ee_dolentia" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"por__ee_doença" "roa-opt__ee_doença" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"lat__ee_cordolium" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"ist__ee_dulur" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"pro__ee_dolor" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"ita__ee_dolore" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"glg__ee_dor" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"nap__ee_dulore" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"epo__ee_doloro" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"fro__ee_dolor" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"lat__ee_dolorosus" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"fro__ee_dolor" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"pro__ee_dolor" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"roh__ee_dolur" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"ita__ee_doglia" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"la-lat__ee_dolōrōsus" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"roa-opt__ee_door" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"fro__ee_dulur" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"ido__ee_doloro" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"cat__ee_dol" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"scn__ee_duluri" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"spa__ee_dolor" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"ast__ee_dolor" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"cym__ee_dolur" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
"lat__ee_dolus" "lat__ee_dolor" "lat__ee_doleo" "itc-pro__ee__doleō" "ine-pro__ee__dolh1éyeti"
